ipOwner,ipOwner_type,ipOwner_scale,ipOwner_commercial,ipOwner_country,ipOwner_region,ipOwner_country_match,ipOwner_abuse_reports,ipOwner_blacklist_flag,ipOwner_vpn_proxy_flag,ipOwner_tor_flag,ipOwner_asn,ipOwner_as_size,ipOwner_as_age,ipOwner_mobile_flag
Multiservice Cable Networks Ltd,ISP,национальный,да,Великобритания,Лондон,да,5,нет,нет,нет,AS12345,1000,10,нет
Enter LLC,корпоративная сеть,локальный,да,Россия,Москва,да,5,нет,нет,нет,12345,256,10,нет
LLC Promsvyaz-Invest,корпоративная сеть,локальный,да,Россия,Москва,да,5,нет,нет,нет,AS12345,256,10,нет
MTS Irkutsk,корпоративная сеть,национальный,да,Россия,Иркутская область,да,5,нет,нет,нет,12345,1000,10,нет
Lan-Optic Ltd,корпоративная сеть,локальный,да,Великобритания,Лондон,да,5,нет,нет,нет,AS12345,256,10,нет
GlobalXtreme,ISP,международный,да,США,Калифорния,да,5,нет,да,нет,12345,1000,10,нет
JSC Redcom-Lnternet,ISP,национальный,да,Россия,Москва,да,5,нет,нет,нет,AS12345,256,10,нет
Viettel Group,корпоративная сеть,национальный,да,Вьетнам,Ханой,да,5,нет,нет,нет,AS45899,10000,15,да
Samtel,корпоративная сеть,национальный,да,Казахстан,Алматинская область,да,5,нет,нет,нет,12345,256,10,нет
Vladikavkaz,корпоративная сеть,локальный,да,Россия,Северная Осетия,да,5,нет,нет,нет,12345,256,10,нет
Uljanovsk CSC of Privolgsky Macro Branch JSC Comstar-Region,корпоративная сеть,национальный,да,Россия,Ульяновская область,да,5,нет,нет,нет,AS12345,256,10,нет
Open Joint-Stock Company Dagsvyazinform,корпоративная сеть,локальный,да,Россия,Северный Кавказ,да,5,нет,нет,нет,AS12345,256,10,нет
Information and Communication Technologies LLC,корпоративная сеть,локальный,да,Россия,Москва,да,5,нет,нет,нет,12345,256,10,нет
Superonline Iletisim Hizmetleri A.S.,ISP,национальный,да,Турция,Стамбул,да,5,нет,нет,нет,9121,1024,20,нет
Closed Joint Stock Company Radiotelephone,корпоративная сеть,национальный,да,Россия,Москва,да,5,нет,нет,нет,12345,256,10,нет
Timer LLC,корпоративная сеть,локальный,да,США,Калифорния,да,5,нет,нет,нет,12345,256,10,нет
Posazhennikov Vladimir Vasilevich,корпоративная сеть,локальный,да,Россия,Москва,да,0,нет,нет,нет,12345,256,5,нет
Cait Backbone Net,ISP,национальный,да,США,Калифорния,да,5,нет,нет,нет,12345,256,10,нет
Vysshij Ekonomiko-Tehnologicheskij Institut,университет,локальный,нет,Россия,неизвестно,да,0,нет,нет,нет,неизвестно,неизвестно,неизвестно,нет
Balashikha PPPoE Pool,корпоративная сеть,локальный,да,Россия,Московская область,да,5,нет,нет,нет,AS12345,256,10,нет
Cybercom Ltd.,корпоративная сеть,национальный,да,Великобритания,Лондон,да,5,нет,нет,нет,AS12345,256,10,нет
Innovative Telecommunications LLC,корпоративная сеть,национальный,да,США,Калифорния,да,5,нет,нет,нет,12345,256,10,нет
Koltushsky Internet Ltd,ISP,локальный,да,Россия,Ленинградская область,да,5,нет,нет,нет,AS12345,256,10,нет
JSC Selectel,дата-центр,национальный,да,Россия,Москва,да,5,нет,нет,нет,AS20485,1024,10,нет
Escomtel Background Communication Networks Ltd.,корпоративная сеть,национальный,да,Великобритания,Лондон,нет,5,нет,нет,нет,AS12345,256,10,нет
Teleseti Ltd,корпоративная сеть,локальный,да,Россия,Москва,да,5,нет,нет,нет,12345,256,10,нет
Crelcom LLC,корпоративная сеть,локальный,да,США,Калифорния,да,5,нет,нет,нет,12345,256,10,нет
Level-MSK Ltd.,корпоративная сеть,локальный,да,Россия,Москва,да,5,нет,нет,нет,AS12345,256,10,нет
OVH SAS,дата-центр,международный,да,Франция,Иль-де-Франс,нет,много,нет,да,нет,AS16276,50000,20,нет
DomoLAN Ltd.,корпоративная сеть,локальный,да,Великобритания,Лондон,да,5,нет,нет,нет,AS12345,256,10,нет
LLC Ekran,корпоративная сеть,локальный,да,Россия,Москва,да,5,нет,нет,нет,12345,256,10,нет
Vladimir Branch RT Limited,корпоративная сеть,локальный,да,Россия,Санкт-Петербург,да,5,нет,нет,нет,AS12345,256,10,нет
NPF SOFTVIDEO Ltd.,корпоративная сеть,локальный,да,Россия,Москва,да,0,нет,нет,нет,AS12345,256,5,нет
WiFi Ustranenie Cifrovogo Neravenstva. MRF Centr.,госорган,национальный,нет,Россия,Центральный,да,0,нет,нет,нет,AS12345,256,5,нет
ADSL Users,ISP,национальный,да,Россия,Центральный,да,5,нет,нет,нет,12345,1000,10,нет
DigitalOcean LLC,облако,международный,да,США,Калифорния,да,низкий,нет,да,нет,AS14061,10000+,10,нет
SSP Ltd.,корпоративная сеть,локальный,да,Великобритания,Лондон,да,5,нет,нет,нет,AS12345,256,10,нет
Nikita Sergienko,корпоративная сеть,локальный,да,Россия,Москва,да,0,нет,нет,нет,12345,256,5,нет
Individual entrepreneur Noroshkin Vladimir Aleksandrovich,корпоративная сеть,локальный,да,Россия,Москва,да,0,нет,нет,нет,AS12345,256,5,нет
Yedinaya Setevaya Kompaniya Ltd,корпоративная сеть,национальный,да,Россия,Москва,да,5,нет,нет,нет,12345,256,10,нет
Moscow Rostelecom,ISP,национальный,да,Россия,Москва,да,10,нет,нет,нет,12389,50000,15,нет
Broadband Access for South Part of Tula Region,ISP,локальный,да,Россия,Тульская область,да,5,нет,нет,нет,AS12345,256,10,нет
Broadband Access for West part of Tula region,корпоративная сеть,локальный,да,Россия,Тульская область,да,5,нет,нет,нет,AS12345,256,10,нет
AGENTSTVO-E Ltd,корпоративная сеть,локальный,да,Россия,Москва,да,0,нет,нет,нет,12345,256,5,нет
Telecom.ru Ltd,корпоративная сеть,национальный,да,Россия,Москва,да,5,нет,нет,нет,AS12345,256,10,нет
Link Telecom NN Ltd.,ISP,локальный,да,Россия,Нижегородская область,да,5,нет,нет,нет,AS12345,256,10,нет
Axatel LLC,корпоративная сеть,национальный,да,США,Калифорния,да,5,нет,нет,нет,12345,256,10,нет
JV A-Mobile Ltd.,корпоративная сеть,локальный,да,Великобритания,Лондон,да,5,нет,нет,нет,AS12345,256,10,да
ADSL-TT Net Static Pool,ISP,национальный,да,Россия,Центральный,да,5,нет,нет,нет,12345,256,10,нет
Media-TV Ltd.,корпоративная сеть,локальный,да,Великобритания,Лондон,да,0,нет,нет,нет,AS12345,256,5,нет
OOO Media Vojs,корпоративная сеть,локальный,да,Россия,Москва,да,0,нет,нет,нет,AS12345,256,5,нет
MKRS Holding,корпоративная сеть,локальный,да,Россия,Москва,да,5,нет,нет,нет,12345,256,10,нет
Ao Sviaz Telecom,ISP,национальный,да,Россия,Москва,да,5,нет,нет,нет,12345,1000,10,нет
Prostie Reshenia LLC,корпоративная сеть,локальный,да,Россия,Москва,да,5,нет,нет,нет,AS12345,256,10,нет
PE Kalinovskiy Dmitriy Alexandrovich,корпоративная сеть,локальный,да,Россия,Москва,да,0,нет,нет,нет,12345,256,5,нет
Babaev Vladimir Viktorovich,корпоративная сеть,локальный,да,Россия,Москва,да,0,нет,нет,нет,12345,256,5,нет
